"CD14","CD123","CD38","CD3","CD19","CXCR3","CD11b","CD4","CD8","CD11c","CD16","CCR4_2","gdTCR","CD45RA","CX3CR1_1","CCR6","CD27","Vd2","CD127_1","CCR7","CD25","CXCR5","HLADR","CD56"
0,0,1.08564351635695,0.418289275386459,3.48567013733019,0,0.0163729862445722,0,0.080974620155551,0,0,0,0,3.34500082031787,0,2.12230868959295,0.182963717599938,0,0,2.80479035789796,0.350763981811368,3.49690806800963,5.92047131550589,0.153425579614568
0,0,0.866675339842801,0.335244226918075,3.31133222610336,0,0,0,0.043786161644889,0,0,0,0,2.82946589261429,0,1.12457270930748,0.146203025520653,0,0,2.88137286985179,0.132236169976777,2.88274170578473,4.93982045219565,0.063945128114442
0,0,1.19926432370517,0.626436128318162,3.01474258499926,0,0,0,0.160278146202365,0,0,0,0,1.94549336010911,0,0.973683421748226,0.11686837027963,0,0,1.65671920920166,0,1.98358419443308,4.40605267319354,0
0,0,2.70815862720172,0.601881219644474,0.872425099121365,0,0.853416806955808,0.0177591465828739,0.484993302481201,1.73894989653999,3.55320005807393,0,0,2.35083631472787,0.30956138746627,0,0.0949428172988369,0.0215071265103102,0,0.816242443320723,0.0857974853090965,0.0825157733461211,3.55817981241687,2.45032172775921
0,0,2.5251971521274,0.374371804387024,0.627337770481739,0,0.970270718247825,0,2.96598199471839,2.62165852928122,3.83560166692968,0,0,0.818499857109391,0.205592669215621,0,0,0,0,0,0,0,0,1.13978760952382
0,0,3.14747099041068,0.587560342659107,0.992192269583546,0,1.6425665656178,0.0517439162616719,0.402920974248793,2.45982169171623,4.35417342668353,0,0,2.50150546421912,0.497250051765073,0,0.0249243201952421,0,0,0,0,0.0418250855549816,0,2.34311514017814
0,0,1.04755798299603,0.523948481312367,0.178511857932289,0,1.40730128584516,0.0295789690553772,0.339382024423715,2.77839328276296,4.44054141683589,0,0,3.17471243234864,0.410301611006161,0,0,0,0,0,0,0.230327351421709,0,3.28330595109683
0,0,1.88251477664576,0.541397634355904,0.39334566803946,0,1.64043015109452,0.0559143611818623,3.01870993370642,2.84393676654034,3.90568736370662,0,0,2.65489535340527,0.396898266247387,0,0.0255300925171996,0,0,0,0,0.155687353151993,0,3.12747831965192
0,0,2.26024298191382,0.497100457753435,0.421174883478801,0,1.93958362142953,0.0352049849304316,3.08048514567098,2.89795694853714,1.28757201540399,0,0,2.00044280635156,0.256175405740866,0,0.106115430860363,0,0,0,0,0.0963328965497679,0,2.81989527168556
0,0,1.8850811680715,4.4947286109799,0.521336365031829,0.0905354755623502,1.50020060261846,0.223801911098972,4.78738197529312,2.06367931871019,2.93344684778537,0.0496018018034518,0,2.36524469806227,0.575003661433114,0,0.443608953087242,0,0.14283420394784,0,0,0.183183576065592,0,2.32067193508916
0,0,0.267300924639485,4.56238954339724,0.0979879108044274,0.175222466124806,0.569832230837225,0.123700473297668,5.43126465838728,0,0.0798896757418277,0,0,0.617143728350924,0.0861302346515276,0,2.7816821254434,0,0.433812115915436,0,0,0.124260554860413,0,3.03714369322345
0,0,0.333204011486644,4.57555948779345,0.125852108020857,0.192951457417766,0.828284442872565,0.146378291745191,5.54707990153339,0.0276460923993049,0.196603892872809,0,0,1.46460580450557,0.171125287479696,0,0,0,0.0225234925045349,0,0,0.148117619226124,0,3.93268463755018
0,0,0.272968502203606,4.46810787953962,0.098061650895871,0.178942713233327,0.530213316792082,0.115579321792042,5.36791004549,0,0.09766913411635,0,0,0.567840832804784,0.0281094427537741,0,0.00490864518492516,0,2.06133374929155,0,0,0.0482698131545876,0,3.36701960059841
0,0,0.357084300750637,4.6584173302396,0.133762276168263,0.0724581059937308,0.630913551480458,0.124405435303958,5.34669335088371,0,0.220631674148715,0,0,1.92733162562565,0.199066566308987,0,0,0,0,0,0,0.112356851240687,0,2.31815188487053
0,0,0.412586314656821,4.65144103799624,0.112232478408472,0,0.349620547804628,0.0830190310588806,4.9339534320935,0.0922755700670642,0.182763723537173,0,0,2.91388736192315,0.1773756918104,0,0,0,0,0,0,0.0639441169035629,0,0.308085674343188
0,0,0.310912726087808,4.25588078233083,0.0361169574685493,0,0.232465059302117,0.00134206304063957,4.0998501786265,0,0.062372563402027,0,0,1.84798053782915,0.162898079043075,0,0,0,0,0,0,0.117174742563995,0,0.307472194626711
0,0,0.529788474832289,4.42625367504395,0.160444983888966,0.0549419587371053,0.169049734456554,0.136729885713833,5.36165387844755,0,0.0894595524323592,0,0,3.03187568667466,0,0,3.69310714006134,0,0.329308450643147,0.629780465249634,0,0,0,0
0,0,0.562257387406256,4.38629950882239,0.117767469783933,0.0135656047789023,0.0927646946874622,0.0947536343890208,5.037057374742,0,0.047307946192013,0,0,2.44942321690589,0,0,3.60194626887513,0,0.508174905287252,2.14896347111457,0,0,0,0
0,0,0.462889075472333,4.4130428798557,0.148258647656848,0.0770163207718105,0.161100677823132,0.146208209266006,5.48249184509355,0,0.0996461095855296,0,0,2.82880613741896,0,0,4.51912559966255,0,0.778960479833484,3.44927777641531,0,0,0,0
0,0,0.435421116383337,4.22909736028675,0.114319861131913,0.0621710197235957,0.125976930698485,0.106379335554247,5.35017439700568,0,0.0851259714849254,0,0,2.88051503542039,0,0,4.43381005965289,0,1.7326950093594,2.60704389704935,0,0,0,0
0,0,0.649162369089077,0.412462748938169,3.383544433909,0,0.0604864060072695,0,0.0865337110477594,0,0,0,0,3.54580578695939,0,1.24667218617314,0.422676147375749,0,0,2.85381249037556,2.10965684582694,2.72854485471502,5.17516511857475,0.075007240672622
