CD14,CD123,CD38,CD3,CD19,CXCR3,CD11b,CD4,CD8,CD11c,CD16,CCR4_2,gdTCR,CD45RA,CX3CR1_1,CCR6,CD27,Vd2,CD127_1,CCR7,CD25,CXCR5,HLADR,CD56,cell
0,0,0.2847280438006763,0.028209277699735823,1,0,0.004152096373039898,0,0.014593451405248346,0,0,0,0,0.9429554566969157,0,1,0.039053116755267764,0,0,0.7509742894419913,0.0834122457896908,1,0.8846476392377035,0.04438711015247465,CXCR5+ B cells
0,0,0.21643547521103942,0.012163318196663995,0.9715050581232001,0,0,0,0.007891253098310857,0,0,0,0,0.7965282453530858,0,1,0.031206645232887357,0,0,0.7714790296042158,0.03144597645239976,1,0.7381169958290054,0.018499779844144946,CXCR5+ B cells
0,0,0.32016450266225355,0.06842740068759211,0.8844892237565448,0,0,0,0.028885733992136033,0,0,0,0,0.5454538255929177,0,0.9331723665263016,0.024945241435834282,0,0,0.4435816486004825,0,0.7652715265554637,0.6583604392253659,0,CXCR5+ B cells
0,0,0.7907637895380427,0.06368290264169565,0.2559590336326417,0,0.2164216579628041,0.004681757833005959,0.08740672297114967,0.3409592370261719,0.8983071256527557,0,0,0.6605832480494701,0.18416036567161825,0,0.02026529072366635,0.004719026392304181,0,0.21854649034966317,0.02040278165330088,0.03183478271843082,0.5316697275086574,0.7088954834798804,CD16+ NK cells
0,0,0.7337011182189218,0.01972354647155128,0.184053358455044,0,0.24605514656430794,0,0.534536797154672,0.5140336094015372,0.9697028741005467,0,0,0.2253542416870391,0.12230860396398205,0,0,0,0,0,0,0,0,0.3297486527439248,Unassigned
0,0,0.9277780816344321,0.06091582361177423,0.2910972813094788,0,0.4165455572797048,0.013640998126683858,0.07261543983237805,0.48230195067538334,1,0,0,0.7033777556763819,0.29581774430205665,0,0.005320029563231818,0,0,0,0,0.016136218044488698,0,0.6778798560728581,CD16+ NK cells
0,0,0.27284979308530133,0.04862474341000394,0.05237323260682558,0,0.3568836177743181,0.0077977604059419345,0.06116428915292379,0.5447648927288773,1,0,0,0.8945885033933998,0.24409147192746022,0,0,0,0,0,0,0.08886084307620981,0,0.9498837369995677,CD16+ NK cells
0,0,0.5332590681108114,0.05199626776050259,0.11540288922953165,0,0.41600377468360933,0.014740432329848233,0.5440395600431246,0.5576161291361126,0.9874216852544537,0,0,0.7469450340796433,0.2361177227069844,0,0.005449330047102856,0,0,0,0,0.060064553219560744,0,0.9048016961878563,CD16+ NK cells
0,0,0.651066275428184,0.04343716983747297,0.12356764640786382,0,0.49186739666472873,0.009280919732812549,0.5551728454123172,0.5682079696913188,0.32551927764389854,0,0,0.5610610982446669,0.152400649136041,0,0.022650055242027418,0,0,0,0,0.03716546189823835,0,0.8158157352717251,CD16- NK cells
0,0,0.5340594833367147,0.8158586523709264,0.15295382070677663,0.434995973414684,0.3804423571802207,0.05899981428948575,0.8627941209306508,0.40462955682284973,0.7416233713329474,0.014262681579176874,0,0.6646756563001136,0.34207394345517267,0,0.09468714598639108,0,0.045493651372300416,0,0,0.07067266178518337,0,0.6713868773990167,CD8+ T cells
0,0,0.029500464778137572,0.8289320938527751,0.028748474777309987,0.8418917197114556,0.14450621918068407,0.032610556881511044,0.9788362910373468,0,0.02019741748621764,0,0,0.16816312846329246,0.051239515492015025,0,0.5937426187333837,0,0.13817206675330987,0,0,0.04794001927194996,0,0.878667247004505,CD8+ T cells
0,0,0.0500545523648677,0.8314767897538168,0.036923495188402614,0.9270742382461978,0.21004823309105566,0.0385890003645197,0.9997088078777226,0.005420622290485457,0.04970468169879803,0,0,0.40886749564115876,0.1018037028967492,0,0,0,0.0071738833372300805,0,0,0.057144131765646054,0,1,CD8+ T cells
0,0,0.031268088894557115,0.8107149961685278,0.02877010923345401,0.8597663981428929,0.1344590874691338,0.030469617028513904,0.9674183620265197,0,0.02469235553840756,0,0,0.15415964369814705,0.01672251600476015,0,0.0010477372018436193,0,0.6565486162297112,0,0,0.018622609366937302,0,0.9741026905210539,CD8+ T cells
0,0,0.05750242135872686,0.8474865773200075,0.03924424340727072,0.3481396011094094,0.15999609537766254,0.032796402602166486,0.9635946355166316,0,0.05577929803927855,0,0,0.5402953542834641,0.1184261769354261,0,0,0,0,0,0,0.043347541944142316,0,0.6706578089677611,CD8+ T cells
0,0,0.07481258556565273,0.8461386185327817,0.03292765962895865,0,0.08866178635928779,0.021885905222681114,0.8892096005970432,0.018092647769105952,0.04620566038526638,0,0,0.8205064467593594,0.1055221147974044,0,0,0,0,0,0,0.02466979324314308,0,0.08913137429771884,CD8+ T cells
0,0,0.04310226751103274,0.7697084886154233,0.010596281033995198,0,0.05895181948905646,3.5380158182608525e-4,0.7388853968768265,0,0.015768804805108824,0,0,0.5177572916251341,0.09690927556992428,0,0,0,0,0,0,0.04520629594012281,0,0.08895389025744353,CD8+ T cells
0,0,0.11136600940128283,0.8026279291758887,0.047072629007102344,0.2639797347250618,0.042870053074960945,0.0360454377950833,0.9662908597357805,0,0.022616838932299297,0,0,0.8540186307765546,0,0,0.7882838533369274,0,0.10488694887803368,0.16862184942397637,0,0,0,0,CD8+ T cells
0,0,0.12149252857995116,0.7949079874696201,0.0345515595431803,0.06517868734995036,0.023524600009094378,0.024979441885703082,0.9077912546244409,0,0.011960223029861891,0,0,0.6885848525678251,0,0,0.768825808907969,0,0.16185711362057573,0.5753785879977598,0,0,0,0,CD8+ T cells
